PassengerId,Survived_pred,Survived_prob
892,0,0.15205386257395928
893,1,0.5086320968019035
894,0,0.14404259997535554
895,0,0.1441348908530592
896,1,0.5273898123117344
897,0,0.1703225250928638
898,1,0.855485964121689
899,0,0.19183689989881614
900,1,0.735778703837245
901,0,0.12704909230440736
902,0,0.14479578113426703
903,0,0.15231007216976292
904,1,0.8910438077736398
905,0,0.1376021648345391
906,1,0.9128161160534473
907,1,0.8894340409746191
908,0,0.1377766379290167
909,0,0.17111718099530085
910,0,0.46738372856149535
911,1,0.6525506260306867
912,0,0.2553102091711598
913,1,0.624886014709973
914,1,0.907997192040108
915,0,0.2948155198961204
916,1,0.5129339878259693
917,0,0.11762079855692262
918,1,0.9086183143755636
919,0,0.16484631557231152
920,0,0.15255199158576818
921,0,0.153746408414926
922,0,0.1356707315790283
923,0,0.17954354609781345
924,0,0.43508186072276817
925,0,0.4379740355673415
926,0,0.18499570130532011
927,0,0.18510236079738096
928,1,0.5858106126230334
929,1,0.5502020573903029
930,0,0.14334753771461792
931,0,0.16860154958457266
932,0,0.14384822324620247
933,0,0.1519101629777407
934,0,0.15222844456378976
935,1,0.8790579772220676
936,1,0.9177268040255987
937,0,0.14323863094433492
938,0,0.16369402573426098
939,0,0.15071336919394407
940,1,0.8426855219521051
941,1,0.6351779112297683
942,0,0.16804426541005882
943,0,0.14259324227092346
944,1,0.8028805851549277
945,1,0.8565482049837799
946,0,0.1413148826921844
947,0,0.13034151568589813
948,0,0.1513150930361815
949,0,0.1432241241676584
950,0,0.11250172385371522
951,1,0.7569901835788252
952,0,0.1554719421428654
953,0,0.14430163819960057
954,0,0.15203351817254357
955,1,0.8498451296648646
956,1,0.5358848230569881
957,1,0.8805114928015108
958,1,0.8409762134780168
959,0,0.15152887826993605
960,0,0.1499390352514458
961,0,0.25519115186572605
962,1,0.8531812072524703
963,0,0.145421660311912
964,1,0.5905289036976591
965,0,0.15219408924004177
966,1,0.8042513533400566
967,0,0.2541563240855503
968,0,0.14480986435658852
969,1,0.8392524485807438
970,0,0.14197763716818207
971,1,0.8531812072524703
972,1,0.7637431202673939
973,0,0.45696699876993113
974,0,0.1511680831837457
975,0,0.14479578113426703
976,0,0.13731030926644627
977,0,0.13497107199932915
978,1,0.8561192144599422
979,1,0.5371342152082383
980,1,0.8562656098475284
981,1,0.8738830788617394
982,0,0.45651125868819753
983,0,0.14478504910842302
984,1,0.9298782978313788
985,0,0.14480986435658852
986,0,0.15950623608031425
987,0,0.1432316479008128
988,1,0.7049894425993111
989,0,0.14566668854255355
990,1,0.5443370903327467
991,0,0.1496532085996579
992,1,0.8991376731938115
993,0,0.13471658873489542
994,0,0.15071336919394407
995,0,0.143526281877566
996,1,0.822485911088949
997,0,0.14799579863094345
998,0,0.15822707713367232
999,0,0.15071336919394407
1000,0,0.14487526070076534
1001,0,0.14979509254779105
1002,0,0.14721392360352628
1003,1,0.8562913491715397
1004,1,0.8714391964560668
1005,1,0.8417658089976882
1006,1,0.7470541901287893
1007,0,0.1949421181281085
1008,0,0.15196985040371358
1009,1,0.8080503209965885
1010,0,0.1571150108385351
1011,1,0.8682971614487037
1012,1,0.8053371264917913
1013,0,0.15324893399101816
1014,1,0.9039553418489662
1015,0,0.14474148150686453
1016,0,0.15071336919394407
1017,1,0.7573544457731446
1018,0,0.14426722909415685
1019,1,0.8077858217472281
1020,0,0.15317042098887493
1021,0,0.14323449264010826
1022,0,0.14867441909435317
1023,0,0.18108315646658263
1024,0,0.18901371543697162
1025,0,0.13557957939086665
1026,0,0.15083432393709176
1027,0,0.14322573484825263
1028,0,0.15419213053061898
1029,0,0.13915693625261
1030,1,0.5590753777076803
1031,0,0.20496325650603497
1032,0,0.14596315611206154
1033,1,0.87461868131113
1034,0,0.2757764128785252
1035,0,0.13908481171468
1036,0,0.15297754565745533
1037,0,0.1715741286678069
1038,0,0.14783520054031593
1039,0,0.14427332934888124
1040,0,0.1519101629777407
1041,0,0.1509098228969619
1042,1,0.9003838616425686
1043,0,0.151987119303454
1044,0,0.12881540196323443
1045,1,0.6312237351425943
1046,0,0.11293581063680777
1047,0,0.14321347396863818
1048,1,0.8540793011606646
1049,1,0.5587136631312948
1050,0,0.15297754565745533
1051,1,0.6798601240701863
1052,1,0.8562508776721306
1053,1,0.7347171160665557
1054,1,0.8653858440568402
1055,0,0.1447224947067558
1056,0,0.152988103084482
1057,1,0.514177478383269
1058,0,0.18126987205916867
1059,0,0.15872621893956104
1060,1,0.8667201886217026
1061,1,0.555601375150698
1062,0,0.14476576486727571
1063,0,0.15336307007829583
1064,0,0.11986604746822895
1065,0,0.15197440200586348
1066,0,0.1401961796651901
1067,1,0.9308744494176291
1068,1,0.8554739889212728
1069,0,0.24708172606143838
1070,1,0.7384736866222191
1071,1,0.7770610081105997
1072,0,0.14197763716818207
1073,0,0.1838141552077528
1074,1,0.8927390960916213
1075,0,0.15071336919394407
1076,1,0.8512412876281102
1077,0,0.15248439778902656
1078,1,0.9276870280484707
1079,0,0.15375807759648424
1080,0,0.15200304375244364
1081,0,0.15260379208823133
1082,0,0.131810587594299
1083,0,0.15199929589418903
1084,0,0.46805402020886744
1085,0,0.14256993644973967
1086,1,0.8653373123573048
1087,0,0.14962366792680473
1088,1,0.7308814975296993
